Institution,Project_ID,Project_Name,Country,Status,Approval_Date,Total_Commitment_USD,Sector_Codes
IDB,XI-IATI-IADB-UR-L1146,Neighborhood Improvement Program III,Uruguay,Implementation,2019-12-20,70000000,16040
ADB,45007-005,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 2,Mongolia,Implementation,,66350000.0,16030
ADB,58345-001,Enhancing Housing Finance for Affordable and Energy-Efficient Housing Project,Kyrgyz Republic,Implementation,,65000000.0,"16030,24010"
IDB,XI-IATI-IADB-UR-L1188,Program for the Social and Urban Integration in Uruguay,Uruguay,Implementation,2024-12-09,60000000,16040
IDB,XI-IATI-IADB-BR-L1596,ProMorar Brasil - Promotion of New Housing Strategies in Brazil for Low-income Population,Brazil,Implementation,2023-06-28,54055925,16040
IDB,XI-IATI-IADB-AR-L1306,Social and Urban Integration Program,Argentina,Implementation,2021-03-19,50000000,16040
IDB,XI-IATI-IADB-ES-L1165,"Financing Program for Sustainable, Inclusive, Low-income Housing",El Salvador,Finalisation,2025-06-25,50000000,16040
ADB,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 1,Mongolia,Implementation,,50000000.0,16030
ADB,49430-005,Aimags and Soums Green Regional Development Investment Program,Mongolia,Implementation,,48000000.0,"14050,16030,16040,21011,23183,23230,23620,23630,24010,24040,31110,31130,31140,31163,43032"
ADB,45007-009,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 3,Mongolia,Implementation,,44650066.0,16030
ADB,37919-014,PHI: NHMFC&apos;s DISPOSAL OF NON-PERFORMING LOANS,Philippines,Finalisation,,33000000,16030
World Bank,P500611,Second Real Estate Management Project,Serbia,Active,2024-07-29,32500000,"AAK,BBC,BBH,YYH"
IDB,XI-IATI-IADB-TT-L1056,Urban Upgrading and Revitalization Program,Trinidad and Tobago,Implementation,2020-12-18,32500000,16040
World Bank,P512048,Integrated Flood Resilience and Adaptation Project,Pakistan,Active,2025-06-27,32000000,YYH
IDB,XI-IATI-IADB-PR-L1082,Improvement of Housing and Habitat,Paraguay,Finalisation,2016-12-21,30000000,16040
IDB,XI-IATI-IADB-SU-L1067,Strengthening Spatial Planning and Environmental Management in Suriname,Suriname,Implementation,2024-10-04,30000000,16030
ADB,54355-001,Green and Resilient Affordable Housing Sector Project,Bhutan,Implementation,,30000000.0,16040
World Bank,P510584,Maldives Fire Reconstruction and Building Resilience Emergency Project,Maldives,Dropped,2025-12-18,20000000,"BBH,EEF,LLT,NNF,NNI,SSA,SSG,TTC,TTF,WWB,WWF,YYH,YYT"
World Bank,P505490,Belize  Development Policy Credit with a Catastrophe Deferred Drawdown Option,Belize,Active,2025-07-29,20000000,"BBC,BBZ,FFD,YYH"
IDB,XI-IATI-IADB-TT-L1057,Urban Upgrading and Revitalization Program,Trinidad and Tobago,Implementation,2020-12-18,17500000,16040
IDB,XI-IATI-IADB-BL-L1046,Sustainable and Inclusive Urban Development Program,Belize,Implementation,2025-10-21,10000000,16040
ADB,41914-014,MLD: EQUITY INVESTMENT AND LOAN TO THE HOUSING DEVELOPMENT FINANCE CORPORATION,Maldives,Finalisation,,7500000,16030
ADB,47127-002,Mandalay Urban Services Improvement Project,Myanmar,Implementation,,4000000,"14031,14032,16030,43032"
