project_id,institution,country,project_name,commitment_usd,n_docs_scanned,lead_paint_hits,classifications_found,verdict,region
45007-005,ADB,Mongolia,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 2,66350000,6,0,,absent,East Asia & Pacific
58345-001,ADB,Kyrgyz Republic,Enhancing Housing Finance for Affordable and Energy-Efficient Housing Project,65000000,4,0,,absent,Europe & Central Asia
XI-IATI-IADB-UR-L1188,IDB,Uruguay,Program for the Social and Urban Integration in Uruguay,60000000,8,0,,absent,Latin America & Caribbean
XI-IATI-IADB-BR-L1596,IDB,Brazil,ProMorar Brasil - Promotion of New Housing Strategies in Brazil for Low-income Population,54055925,10,0,,absent,Latin America & Caribbean
XI-IATI-IADB-AR-L1306,IDB,Argentina,Social and Urban Integration Program,50000000,18,0,,absent,Latin America & Caribbean
XI-IATI-IADB-ES-L1165,IDB,El Salvador,"Financing Program for Sustainable, Inclusive, Low-income Housing",50000000,7,0,,absent,Latin America & Caribbean
45007-004,ADB,Mongolia,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 1,50000000,2,0,,absent,East Asia & Pacific
49430-005,ADB,Mongolia,Aimags and Soums Green Regional Development Investment Program,48000000,2,0,,absent,East Asia & Pacific
45007-009,ADB,Mongolia,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 3,44650066,6,0,,absent,East Asia & Pacific
37919-014,ADB,Philippines,PHI: NHMFC&apos;s DISPOSAL OF NON-PERFORMING LOANS,33000000,1,0,,absent,East Asia & Pacific
P500611,World Bank,Serbia,Second Real Estate Management Project,32500000,13,0,,absent,Europe & Central Asia
XI-IATI-IADB-TT-L1056,IDB,Trinidad and Tobago,Urban Upgrading and Revitalization Program,32500000,19,0,,absent,Latin America & Caribbean
P512048,World Bank,Pakistan,Integrated Flood Resilience and Adaptation Project,32000000,0,0,,no-docs,South Asia
XI-IATI-IADB-PR-L1082,IDB,Paraguay,Improvement of Housing and Habitat,30000000,34,0,,absent,Latin America & Caribbean
XI-IATI-IADB-SU-L1067,IDB,Suriname,Strengthening Spatial Planning and Environmental Management in Suriname,30000000,6,0,,absent,Latin America & Caribbean
54355-001,ADB,Bhutan,Green and Resilient Affordable Housing Sector Project,30000000,9,0,,absent,South Asia
P510584,World Bank,Maldives,Maldives Fire Reconstruction and Building Resilience Emergency Project,20000000,4,0,,absent,South Asia
P505490,World Bank,Belize,Belize  Development Policy Credit with a Catastrophe Deferred Drawdown Option,20000000,3,0,,absent,Latin America & Caribbean
XI-IATI-IADB-TT-L1057,IDB,Trinidad and Tobago,Urban Upgrading and Revitalization Program,17500000,17,0,,absent,Latin America & Caribbean
XI-IATI-IADB-BL-L1046,IDB,Belize,Sustainable and Inclusive Urban Development Program,10000000,16,0,,absent,Latin America & Caribbean
41914-014,ADB,Maldives,MLD: EQUITY INVESTMENT AND LOAN TO THE HOUSING DEVELOPMENT FINANCE CORPORATION,7500000,2,0,,absent,South Asia
47127-002,ADB,Myanmar,Mandalay Urban Services Improvement Project,4000000,3,0,,absent,East Asia & Pacific
